iter	Passed	Remaining
676	2014	12864
677	2017	12861
678	2020	12857
679	2023	12854
680	2025	12848
681	2028	12845
682	2031	12839
683	2033	12833
684	2036	12828
685	2038	12820
686	2041	12814
687	2044	12811
688	2046	12805
689	2049	12799
690	2051	12793
691	2053	12786
692	2056	12781
693	2059	12775
694	2061	12770
695	2064	12763
696	2066	12757
697	2068	12750
698	2071	12743
699	2073	12737
700	2076	12732
701	2078	12727
702	2081	12722
703	2083	12716
704	2086	12711
705	2089	12707
706	2091	12700
707	2094	12696
708	2096	12690
709	2099	12684
710	2101	12678
711	2104	12673
712	2106	12666
713	2109	12661
714	2111	12655
715	2114	12650
716	2116	12643
717	2119	12638
718	2121	12632
719	2124	12626
720	2126	12620
721	2128	12613
722	2131	12606
723	2133	12600
724	2135	12593
725	2138	12586
726	2140	12581
727	2143	12575
728	2145	12569
729	2148	12564
730	2150	12559
731	2153	12554
732	2155	12547
733	2157	12541
734	2160	12537
735	2163	12532
736	2165	12525
737	2167	12520
738	2170	12513
739	2172	12507
740	2175	12501
741	2177	12496
742	2180	12490
743	2182	12483
744	2184	12476
745	2186	12470
746	2189	12464
747	2191	12460
748	2194	12454
749	2196	12448
750	2199	12441
751	2201	12435
752	2203	12429
753	2207	12428
754	2209	12424
755	2212	12421
756	2214	12414
757	2217	12408
758	2219	12404
759	2222	12399
760	2224	12393
761	2227	12387
762	2229	12381
763	2232	12375
764	2234	12369
765	2236	12363
766	2239	12358
767	2241	12352
768	2244	12346
769	2246	12341
770	2249	12338
771	2252	12333
772	2254	12328
773	2256	12321
774	2259	12317
775	2261	12311
776	2264	12307
777	2266	12301
778	2269	12296
779	2271	12290
780	2274	12284
781	2276	12278
782	2279	12275
783	2281	12269
784	2284	12264
785	2286	12259
786	2289	12253
787	2291	12248
788	2294	12244
789	2296	12240
790	2299	12235
791	2301	12229
792	2304	12224
793	2307	12220
794	2309	12215
795	2311	12210
796	2314	12204
797	2317	12200
798	2319	12195
799	2322	12190
800	2324	12187
801	2327	12183
802	2330	12178
803	2332	12172
804	2335	12169
805	2337	12164
806	2340	12159
807	2342	12155
808	2345	12149
809	2347	12144
810	2350	12140
811	2352	12134
812	2355	12128
813	2357	12123
814	2359	12117
815	2362	12112
816	2365	12109
817	2367	12106
818	2370	12103
819	2373	12100
820	2376	12096
821	2379	12092
822	2382	12090
823	2384	12085
824	2387	12080
